all but | all but finitely many | adj
all but | all but countably many | adj
all but | all but at most finitely many | adj
all but | all but at most countably many | adj
if and | if and only if | iff
we say | we say that | fluff
we say | we say | fluff
radius of | radius of convergence | ent
as well | as well as | and
in this | in this case | fluff
by passage | by passage to | pre
is called | is called | auxpass
